Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
2025-01-02,243.85000610351562,249.10000610351562,241.82000732421875,248.92999267578125,55740700
2025-01-03,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100
2025-01-06,245.0,247.3300018310547,243.1999969482422,244.30999755859375,45045600
2025-01-07,242.2100067138672,245.5500030517578,241.35000610351562,242.97999572753906,40856000
2025-01-08,242.6999969482422,243.7100067138672,240.0500030517578,241.9199981689453,37628900
2025-01-10,236.85000610351562,240.16000366210938,233.0,240.00999450683594,61710900
2025-01-13,234.39999389648438,234.6699981689453,229.72000122070312,233.52999877929688,49630700
2025-01-14,233.27999877929688,236.1199951171875,232.47000122070312,234.75,39435300
2025-01-15,237.8699951171875,238.9600067138672,234.42999267578125,234.63999938964844,39832000
2025-01-16,228.25999450683594,238.00999450683594,228.02999877929688,237.35000610351562,71759100
2025-01-17,229.97999572753906,232.2899932861328,228.47999572753906,232.1199951171875,68488300
2025-01-21,222.63999938964844,224.4199981689453,219.3800048828125,224.0,98070400
2025-01-22,223.8300018310547,224.1199951171875,219.7899932861328,219.7899932861328,64126500
2025-01-23,223.66000366210938,227.02999877929688,222.3000030517578,224.74000549316406,60234800
2025-01-24,222.77999877929688,225.6300048828125,221.41000366210938,224.77999877929688,54697900
2025-01-27,229.86000061035156,232.14999389648438,223.97999572753906,224.02000427246094,94863400
